Wed Jun 11 16:37:41 2014,1402497461.198768,['']
Wed Jun 11 16:37:42 2014,1402497462.199412,"['10', '25.707', '2.605', '0']"
Wed Jun 11 16:37:43 2014,1402497463.199862,"['10', '25.716', '2.602', '0']"
Wed Jun 11 16:37:44 2014,1402497464.200408,"['10', '25.685', '2.597', '0']"
Wed Jun 11 16:37:45 2014,1402497465.199956,"['10', '25.698', '2.597', '0']"
Wed Jun 11 16:37:46 2014,1402497466.199944,"['10', '25.698', '2.543', '0']"
Wed Jun 11 16:37:47 2014,1402497467.199877,"['10', '25.698', '2.607', '0']"
Wed Jun 11 16:37:48 2014,1402497468.199865,"['10', '25.701', '2.591', '0']"
Wed Jun 11 16:37:49 2014,1402497469.199837,"['10', '25.710', '2.592', '0']"
Wed Jun 11 16:37:50 2014,1402497470.199849,"['10', '25.701', '2.578', '0']"
Wed Jun 11 16:37:51 2014,1402497471.199827,"['10', '25.705', '2.577', '0']"
Wed Jun 11 16:37:52 2014,1402497472.199921,"['10', '25.707', '2.570', '0']"
Wed Jun 11 16:37:53 2014,1402497473.199852,"['10', '25.707', '2.570', '0']"
Wed Jun 11 16:37:54 2014,1402497474.19953,"['10', '25.715', '2.569', '0']"
Wed Jun 11 16:37:55 2014,1402497475.199879,"['10', '25.714', '2.569', '0']"
Wed Jun 11 16:37:56 2014,1402497476.199859,"['10', '\xc9\xa9\xe6\xd93&\xcd', '2.570', '0']"
Wed Jun 11 16:37:57 2014,1402497477.199907,"['10', '25.703', '2.571', '0']"
Wed Jun 11 16:37:58 2014,1402497478.199503,"['10', '25.698', '2.565', '0']"
Wed Jun 11 16:37:59 2014,1402497479.200151,"['10', '25.700', '2.543', '0']"
Wed Jun 11 16:38:00 2014,1402497480.199558,"['10', '25.719', '2.543', '0']"
Wed Jun 11 16:38:01 2014,1402497481.199886,"['10', '25.719', '2.573', '0']"
Wed Jun 11 16:38:02 2014,1402497482.199909,"['10', '25.715', '2.567', '0']"
Wed Jun 11 16:38:03 2014,1402497483.199912,"['10', '25.699', '2.548', '0']"
Wed Jun 11 16:38:04 2014,1402497484.199892,"['10', '25.705', '2.549', '0']"
Wed Jun 11 16:38:05 2014,1402497485.199952,"['10', '25.714', '2.557', '0']"
Wed Jun 11 16:38:06 2014,1402497486.199852,"['10', '25.701', '2.546', '0']"
Wed Jun 11 16:38:07 2014,1402497487.199849,"['\xcc\x98', '25.720', '2.538', '0']"
Wed Jun 11 16:38:08 2014,1402497488.199859,"['10', '25.720', '2.538', '0']"
Wed Jun 11 16:38:09 2014,1402497489.199885,"['10', '25.702', '2.536', '0']"
Wed Jun 11 16:38:10 2014,1402497490.199833,"['10', '25.713', '2.525', '0']"
Wed Jun 11 16:38:11 2014,1402497491.199464,"['10', '25.708', '2.519', '0']"
Wed Jun 11 16:38:12 2014,1402497492.199813,"['10', '25.711', '2.504', '0']"
Wed Jun 11 16:38:13 2014,1402497493.199161,"['10', '25.700', '2.507', '0']"
Wed Jun 11 16:38:14 2014,1402497494.199763,"['10', '25.710', '2.505', '0']"
Wed Jun 11 16:38:15 2014,1402497495.199483,"['10', '25.713', '2.505', '0']"
Wed Jun 11 16:38:16 2014,1402497496.199912,"['10', '25.713', '2.510', '0']"
Wed Jun 11 16:38:17 2014,1402497497.199655,"['10', '25.699', '2.499', '0']"
Wed Jun 11 16:38:18 2014,1402497498.198891,"['10', '25.709', '2.490', '0']"
Wed Jun 11 16:38:19 2014,1402497499.199871,"['10', '25.702', '2.465', '0']"
Wed Jun 11 16:38:20 2014,1402497500.199851,"['10', '25.716', '2.498', '0']"
Wed Jun 11 16:38:21 2014,1402497501.199906,"['10', '25.701', '2.490', '0']"
Wed Jun 11 16:38:22 2014,1402497502.19984,"['10', '25.717', '2.477', '0']"
Wed Jun 11 16:38:23 2014,1402497503.199932,"['10', '25.717', '2.477', '0']"
Wed Jun 11 16:38:24 2014,1402497504.199783,"['10', '25.702', '2.476', '0']"
Wed Jun 11 16:38:25 2014,1402497505.199857,"['10', '25.706', '2.512', '0']"
Wed Jun 11 16:38:26 2014,1402497506.199895,"['10', '25.710', '2.467', '0']"
Wed Jun 11 16:38:27 2014,1402497507.199837,"['10', '25.706', '2.486', '0']"
Wed Jun 11 16:38:28 2014,1402497508.19992,"['10', '25.710', '2.499', '0']"
Wed Jun 11 16:38:29 2014,1402497509.199847,"['10', '25.708', '2.481', '0']"
Wed Jun 11 16:38:30 2014,1402497510.199876,"['10', '25.696', '2.481', '0']"
Wed Jun 11 16:38:31 2014,1402497511.199823,"['10', '25.696', '2.491', '0']"
Wed Jun 11 16:38:32 2014,1402497512.19987,"['10', '25.727', '2.495', '0']"
Wed Jun 11 16:38:33 2014,1402497513.19986,"['10', '25.690', '2.502', '0']"
Wed Jun 11 16:38:34 2014,1402497514.199868,"['10', '25.696', '2.500', '0']"
Wed Jun 11 16:38:35 2014,1402497515.199845,"['10', '25.710', '2.542', '0']"
Wed Jun 11 16:38:36 2014,1402497516.199894,"['10', '25.694', '2.521', '0']"
Wed Jun 11 16:38:37 2014,1402497517.199901,"['\xcc0', '25.726', '2.552', '0']"
Wed Jun 11 16:38:38 2014,1402497518.199804,"['10', '25.726', '2.552', '0']"
Wed Jun 11 16:38:39 2014,1402497519.199854,"['10', '25.713', '2.609', '0']"
Wed Jun 11 16:38:40 2014,1402497520.198908,"['10', '25.727', '2.601', '0']"
Wed Jun 11 16:38:41 2014,1402497521.19988,"['10', '8.551', '3.603', '0']"
Wed Jun 11 16:38:42 2014,1402497522.19953,"['10', '25.707', '2.618', '0']"
Wed Jun 11 16:38:43 2014,1402497523.199971,"['10', '25.725', '2.638', '0']"
Wed Jun 11 16:38:44 2014,1402497524.199789,"['10', '25.703', '2.6\xcd\xc1\xc6\r\xb3\x980']"
Wed Jun 11 16:38:45 2014,1402497525.200147,"['10', '25.711', '2.638', '0']"
Wed Jun 11 16:38:46 2014,1402497526.199843,"['10', '25.711', '2.638', '0']"
Wed Jun 11 16:38:47 2014,1402497527.199975,"['10', '25.711', '2.639', '0']"
Wed Jun 11 16:38:48 2014,1402497528.199881,"['10', '25.696', '2.645', '0']"
Wed Jun 11 16:38:49 2014,1402497529.19988,"['10', '25.702', '2.644', '0']"
Wed Jun 11 16:38:50 2014,1402497530.199917,"['10', '25.718', '2.645', '0']"
Wed Jun 11 16:38:51 2014,1402497531.199907,"['10', '25.717', '2.650', '0']"
Wed Jun 11 16:38:52 2014,1402497532.199817,"['10', '25.720', '2.655', '0']"
Wed Jun 11 16:38:53 2014,1402497533.199859,"['10', '25.720', '2.655', '0']"
Wed Jun 11 16:38:54 2014,1402497534.199845,"['10', '25.707', '2.653', '0']"
Wed Jun 11 16:38:55 2014,1402497535.199855,"['10', '25.698', '2.653', '0']"
Wed Jun 11 16:38:56 2014,1402497536.199859,"['10', '25.700', '2.651', '0']"
Wed Jun 11 16:38:57 2014,1402497537.199857,"['10', '25.712', '2.652', '0']"
Wed Jun 11 16:38:58 2014,1402497538.199888,"['10', '25.717', '2.650', '0']"
Wed Jun 11 16:38:59 2014,1402497539.199895,"['10', '25.710', '2.657', '0']"
Wed Jun 11 16:39:00 2014,1402497540.19997,"['10', '25.714', '2.657', '0']"
Wed Jun 11 16:39:01 2014,1402497541.199907,"['10', '25.714', '2.658', '0']"
Wed Jun 11 16:39:02 2014,1402497542.199816,"['10', '25.714', '2.649', '0']"
Wed Jun 11 16:39:03 2014,1402497543.199871,"['10', '25.713', '2.672', '0']"
Wed Jun 11 16:39:04 2014,1402497544.199875,"['10', '25.718', '2.662', '0']"
Wed Jun 11 16:39:05 2014,1402497545.199853,"['10', '25.711', '2.665', '0']"
Wed Jun 11 16:39:06 2014,1402497546.1999,"['10', '25.\xdd\x83v\xc6M3\x99\xb33\xe6', '0']"
Wed Jun 11 16:39:07 2014,1402497547.199941,"['10', '25.715', '2.668', '0']"
Wed Jun 11 16:39:08 2014,1402497548.199816,"['10', '25.715', '2.668', '0']"
Wed Jun 11 16:39:09 2014,1402497549.199835,"['10', '25.713', '2.660', '0']"
Wed Jun 11 16:39:10 2014,1402497550.199853,"['10', '25.710', '2.637', '0']"
Wed Jun 11 16:39:11 2014,1402497551.200615,"['10', '25.727', '2.576', '0']"
Wed Jun 11 16:39:12 2014,1402497552.200061,"['10', '25.708', '2.487', '0']"
Wed Jun 11 16:39:13 2014,1402497553.200104,"['10', '25.706', '2.474', '0']"
Wed Jun 11 16:39:14 2014,1402497554.199809,"['10', '25.693', '2.457', '0']"
Wed Jun 11 16:39:15 2014,1402497555.200582,"['10', '25.718', '2.457', '0']"
Wed Jun 11 16:39:16 2014,1402497556.199857,"['10', '25.718', '2.441', '\xc1\xd6L\x08']"
Wed Jun 11 16:39:17 2014,1402497557.199865,"['10', '25.711', '2.440', '0']"
Wed Jun 11 16:39:18 2014,1402497558.199998,"['10', '25.724', '2.441', '0']"
Wed Jun 11 16:39:19 2014,1402497559.200508,"['10', '25.721', '2.441', '0']"
Wed Jun 11 16:39:20 2014,1402497560.200429,"['10', '25.727', '2.434', '0']"
Wed Jun 11 16:39:21 2014,1402497561.199822,"['10', '25.731', '2.434', '0']"
Wed Jun 11 16:39:22 2014,1402497562.200516,"['10', '25.714', '2.411', '0']"
Wed Jun 11 16:39:23 2014,1402497563.199123,"['10', '25.714', '2.411', '0']"
Wed Jun 11 16:39:24 2014,1402497564.200449,"['10', '25.728', '2.402', '0']"
Wed Jun 11 16:39:25 2014,1402497565.199122,"['10', '25.714', '2.400', '0']"
Wed Jun 11 16:39:26 2014,1402497566.199912,"['10', '25.721', '2.398', '0']"
Wed Jun 11 16:39:27 2014,1402497567.199582,"['10', '25.718', '2.395', '0']"
Wed Jun 11 16:39:28 2014,1402497568.199918,"['10', '25.714', '2.396', '0']"
Wed Jun 11 16:39:29 2014,1402497569.200385,"['10', '25.729', '2.409', '0']"
Wed Jun 11 16:39:30 2014,1402497570.199857,"['10', '25.729', '2.409', '0']"
Wed Jun 11 16:39:31 2014,1402497571.199828,"['10', '25\xb9\xba&\x96\xc6\x993\x19\xb3l\x9b', '0']"
Wed Jun 11 16:39:32 2014,1402497572.199887,"['10', '25.723', '2.410', '0']"
Wed Jun 11 16:39:33 2014,1402497573.199414,"['10', '25.728', '2.422', '0']"
Wed Jun 11 16:39:34 2014,1402497574.200079,"['10', '25.705', '2.300', '0']"
Wed Jun 11 16:39:35 2014,1402497575.200067,"['10', '25.717', '2.287', '0']"
Wed Jun 11 16:39:36 2014,1402497576.200139,"['10', '25.710', '2.134', '0']"
Wed Jun 11 16:39:37 2014,1402497577.198895,"['10', '25.709', '2.107', '0']"
Wed Jun 11 16:39:38 2014,1402497578.200051,"['10', '25.709', '2.107', '0']"
Wed Jun 11 16:39:39 2014,1402497579.200348,"['10', '25.720', '2.107', '0']"
Wed Jun 11 16:39:40 2014,1402497580.200023,"['10', '25.726', '2.100', '0']"
Wed Jun 11 16:39:41 2014,1402497581.199999,"['10', '25.700', '2.070', '0']"
Wed Jun 11 16:39:42 2014,1402497582.199864,"['10', '25.729', '2.066', '0']"
Wed Jun 11 16:39:43 2014,1402497583.199865,"['10', '8.548', '2.922', '0']"
Wed Jun 11 16:39:44 2014,1402497584.199914,"['10', '25.709', '2.05\xc1f\x06\xd6\x98\x08']"
Wed Jun 11 16:39:45 2014,1402497585.199788,"['10', '25.714', '2.050', '0']"
Wed Jun 11 16:39:46 2014,1402497586.199965,"['10', '25.714', '2.038', '0']"
Wed Jun 11 16:39:47 2014,1402497587.199779,"['10', '25.728', '2.915', '0']"
Wed Jun 11 16:39:48 2014,1402497588.199925,"['10', '25.724', '2.909', '0']"
Wed Jun 11 16:39:49 2014,1402497589.199878,"['\xcc0', '25.720', '2.906', '0']"
Wed Jun 11 16:39:50 2014,1402497590.199877,"['10', '25.713', '2.921', '0']"
Wed Jun 11 16:39:51 2014,1402497591.199891,"['10', '25.734', '2.865', '0']"
Wed Jun 11 16:39:52 2014,1402497592.199878,"['10', '25.7\xc1\xcb\xc6\x193\x99\xb3\xcc\xcd\x940']"
